𒊏	U+1228F	ra, raḫ₂
𒁾	U+1207E	dub, kišib₃, ṭuppum, kišib
𒂎	U+1208E	NONE
𒂞	U+1209E	eren, erin, šeš₂, šeš₄
𒂮	U+120AE	NONE
𒂾	U+120BE	NONE
𒃎	U+120CE	NONE
𒃞	U+120DE	men, men₄, menₓ(G̃A₂×EN)
𒃮	U+120EE	gaba
𒃾	U+120FE	wi₅, g̃eštin
𒀏	U+1200F	NONE
𒀟	U+1201F	NONE
𒀯	U+1202F	mul, MUL
𒀿	U+1203F	NONE
𒁏	U+1204F	NONE
𒁟	U+1205F	NONE
𒁯	U+1206F	gun₃
𒁿	U+1207F	NONE
𒂏	U+1208F	NONE
𒂟	U+1209F	erin, zalag, zab/zap, ṣab/ṣap
𒂯	U+120AF	NONE
𒂿	U+120BF	sabad₂
𒃏	U+120CF	NONE
𒃟	U+120DF	NONE
𒃯	U+120EF	NONE
𒃿	U+120FF	NONE
𒄀	U+12100	ge, gi, sig₁₇, sissig, gin₆
𒄐	U+12110	g̃izzal₃
𒄠	U+12120	am
𒄰	U+12130	gam₂/qam₂, kam, tu₇
𒅀	U+12140	ia, ie, ii, iu
𒅐	U+12150	dalḫamun₆
𒅠	U+12160	NONE
𒅰	U+12170	NONE
𒆀	U+12180	NONE
𒆐	U+12190	NONE
𒆠	U+121A0	ki, ke/qe₂, ki/qi₂
𒆰	U+121B0	numun, kul
𒇀	U+121C0	gigir, tul₈
𒇐	U+121D0	NONE
𒇠	U+121E0	NONE
𒇰	U+121F0	NONE
𒄁	U+12101	NONE
𒄑	U+12111	ez/es/eṣ, giš, iz/is/iṣ, g̃eš, g̃iš
𒄡	U+12121	NONE
𒄱	U+12131	UB, ar₂, ub/up
𒅁	U+12141	eb/ep, ib/ip, ib, eb, urta, dara₂
𒅑	U+12151	NONE
𒅡	U+12161	NONE
𒅱	U+12171	NONE
𒆁	U+12181	tukur₂
𒆑	U+12191	NONE
𒆡	U+121A1	NONE
𒆱	U+121B1	NONE
𒇁	U+121C1	NONE
𒇑	U+121D1	NONE
𒇡	U+121E1	sur₈
𒇱	U+121F1	NONE
𒄂	U+12102	NONE
𒄒	U+12112	kib/kip, qib/qip, šennur, ḫul
𒄢	U+12122	gul
𒄲	U+12132	NONE
𒅂	U+12142	NONE
𒅒	U+12152	NONE
𒅢	U+12162	NONE
𒅲	U+12172	tu₆, mu₇, g̃eli₃, uš₇
𒆂	U+12182	NONE
𒆒	U+12192	kad₄, kam₃, peš₅
𒆢	U+121A2	ḫabruda
𒆲	U+121B2	NONE
𒇂	U+121C2	NONE
𒇒	U+121D2	NONE
𒇢	U+121E2	NONE
𒇲	U+121F2	lal, la₂
