O36B	𓊇
O36C	𓊈
O36D	𓊉
O37	𓊊
O38	𓊋
O39	𓊌
O40	𓊍
O41	𓊎
O42	𓊏
O43	𓊐
O44	𓊑
O45	𓊒
O46	𓊓
O47	𓊔
O48	𓊕
O49	𓊖
O50	𓊗
O51	𓊘
O51A	𓊙
O52	𓊚
P1	𓊛
P1A	𓊜
P2	𓊝
P3	𓊞
P3A	𓊟
P4	𓊠
P5	𓊡
P6	𓊢
P7	𓊣
P8	𓊤
P9	𓊥
P10	𓊦
P11	𓊧
Q1	𓊨
Q2	𓊩
Q3	𓊪
Q4	𓊫
Q5	𓊬
Q6	𓊭
Q7	𓊮
R1	𓊯
R2	𓊰
R2A	𓊱
R3	𓊲
R3A	𓊳
R3B	𓊴
R4	𓊵
R5	𓊶
R6	𓊷
R7	𓊸
R8	𓊹
R8A	𓊹𓊹𓊹
R9	𓊺
R10	𓊻
R10A	𓊼
R11	𓊽
R12	𓊾
R13	𓊿
R14	𓋀
R15	𓋁
R16A	𓋂
R16	𓋃
R17	𓋄
R18	𓋅
R19	𓋆
R20	𓋇
R21	𓋈
R22	𓋉
R23	𓋊
R24	𓋋
R25	𓋌
R26	𓋍
R27	𓋎
R28	𓋏
R29	𓋐
S1	𓋑
S2	𓋒
S3	𓋓
S4	𓋔
S4A	𓋕
S5	𓋖
S5A	𓋗
S6	𓋘
S7	𓋙
S8	𓋚
S9	𓋛
S10	𓋜
S11	𓋝
S12	𓋞
S13	𓋟
S14	𓋠
S14A	𓋡
S14B	𓋢
S15	𓋣
S16	𓋤
S17	𓋥
S17X	𓋦
S18	𓋧
S19	𓋨
S20	𓋩
S21	𓋪
S22	𓋫
S23	𓋬
S24	𓋭
S25	𓋮
S26	𓋯
S2x	𓋰
S2xA	𓋱
S27	𓋲
S28	𓋳
S29	𓋴
S30	𓋵
S31	𓋶
S32	𓋷
S33	𓋸
S34	𓋹
S35	𓋺
S35A	𓋻
S36	𓋼
S37	𓋽
S38	𓋾
S39	𓋿
S40	𓌀
S41	𓌁
S42	𓌂
S43	𓌃
S44	𓌄
S45	𓌅
T1	𓌆
T2	𓌇
T3	𓌈
T4	𓌉
T4A	𓌊
T4B	𓌋
T5	𓌌
T5A	𓌍
T6	𓌎
T7	𓌏
T8	𓌐
T8A	𓌑
T9	𓌒
T9A	𓌓
T10	𓌔
T11	𓌕
T11A	𓌖
T12	𓌗
T13	𓌘
T14	𓌙
T15	𓌚
T16	𓌛
T16A	𓌜
T17	𓌝
T18	𓌞
T19	𓌟
T20	𓌠
T21	𓌡
T22	𓌢
T23	𓌣
T24	𓌤
T25	𓌥
T26	𓌦
T27	𓌧
T28	𓌨
T29	𓌩
T30	𓌪
T31	𓌫
T32	𓌬
T32A	𓌭
T33	𓌮
T33A	𓌯
T34	𓌰
T35	𓌱
T36	𓌲
U1	𓌳
U2	𓌴
U3	𓌵
U4	𓌶
U5	𓌷
U6	𓌸
U6A	𓌹
U6B	𓌺
U7	𓌻
U8	𓌼
U9	𓌽
U10	𓌾
U11	𓌿
U12	𓍀
U13	𓍁
U14	𓍂
U15	𓍃
U16	𓍄
U17	𓍅
U18	𓍆
U19	𓍇
U20	𓍈
U21	𓍉
U22	𓍊
U23	𓍋
U23A	𓍌
U24	𓍍
U25	𓍎
U26	𓍏
U27	𓍐
U28	𓍑
U29	𓍒
U29A	𓍓
U30	𓍔
U31	𓍕
U32	𓍖
U32A	𓍗
U33	𓍘
U34	𓍙
U35	𓍚
U36	𓍛
U37	𓍜
U38	𓍝
U39	𓍞
U40	𓍟
U41	𓍠
U50	𓍡
V1	𓍢
V1_2	𓍣
V1_3	𓍤
V1_4	𓍥
V1_5	𓍦
V1_6	𓍧
V1_7	𓍨
V1_8	𓍩
V1_9	𓍪
V1_V	𓍫
V2	𓍬
V2X	𓍭
V3	𓍮
V4	𓍯
V5	𓍰
V6	𓍱
V7	𓍲
V7A	𓍳
V7X	𓍴
V8	𓍵
V9	𓍶
V10	𓍷
V11	𓍸
V11A	𓍹
V11B	𓍺
V11C	𓍻
V12	𓍼
V12A	𓍽
V12B	𓍾
V13	𓍿
V14	𓎀
V15	𓎁
V16	𓎂
V17	𓎃
V18	𓎄
V19	𓎅
V20	𓎆
V20_2	𓎇
V20_3	𓎈
V20_4	𓎉
V20_5	𓎊
V20_6	𓎋
V20_7	𓎌
V20_8	𓎍
V20_9	𓎎
V20_2H	𓎏
V20_3H	𓎐
V20_4H	𓎑
V20_5H	𓎒
V21	𓎓
V22	𓎔
V23	𓎕
V23A	𓎖
V24	𓎗
V25	𓎘
V26	𓎙
V27	𓎚
V28	𓎛
V28A	𓎜
V29	𓎝
V29A	𓎞
V30	𓎟
V30A	𓎠
V31	𓎡
V31A	𓎢
V32	𓎣
V33	𓎤
V33A	𓎥
V34	𓎦
V35	𓎧
V36	𓎨
V3X	𓎩
V37	𓎪
V38	𓎫
V39	𓎬
V40	𓎭
V41	𓎮
W1	𓎯
W2	𓎰
W3	𓎱
W4	𓎲
W5	𓎳
W5A	𓎴
W6	𓎵
W7	𓎶
W8	𓎷
W9	𓎸
W9A	𓎹
W10	𓎺
W10A	𓎻
W11	𓎼
W12	𓎽
W13	𓎾
W14	𓎿
W14A	𓏀
W15	𓏁
W16	𓏂
W17	𓏃
W17A	𓏄
W18	𓏅
W18A	𓏆
W19	𓏇
W20	𓏈
W21	𓏉
W22	𓏊
W23	𓏋
W24	𓏌
W25	𓏍
W26	𓏎
X1	𓏏
X2	𓏐
X3	𓏑
X4	𓏒
X4A	𓏓
X4B	𓏔
X5	𓏕
X6	𓏖
X6a	𓏗
X7	𓏘
X8	𓏙
X8A	𓏚
X11 ~𓏌 
Y1	𓏛
Y1A	𓏜
Y1V	𓏜
Y2	𓏝
Y3	𓏞
Y4	𓏟
Y5	𓏠
Y6	𓏡
Y7	𓏢
Y8	𓏣
Y13 ~ 𐀂
Y18	~ 𓏣
Y19	~ 𓏣𓐝	
Y20	~ 𓏣𓄡
Y24 𓏸 vs 
Y26	~ 𓏣𓄡

Z1	𓏤
Z2	𓏥
Z2ss	𓏦
Z2p	𓏧
Z3A	𓏨
Z3B	𓏩
Z3	𓏪
Z3V	𓏫
Z3p	𓏬
Z4	𓏭
Z4	𓏮
Z4A	𓏻
Z5	𓏯
Z5A	𓏰
Z6	𓏱
Z7	𓏲
Z8	𓏳
